Actual,Predicted,Absolute_Error,Relative_Error_%,Similarity_%,CVE_ID,Description,CVSS_Score,Vendor,Product,Exploitation
0.00015,0.0001532082639669298,3.208263966929817e-06,2.1387000646155707,97.86115735538013,CVE-2023-1258,Exposure of Sensitive Information to an Unauthorized Actor vulnerability in ABB Flow-X firmware on Flow-X embedded hardware (web service modules) allows Footprinting.This issue affects Flow-X: before 4.0.,5.3,ABB,Flow-X,yes
0.83595,0.07946876349206348,0.7564812365079365,90.49359739919574,9.506401518280217,CVE-2023-1389,"TP-Link Archer AX21 (AX1800) firmware versions before 1.1.4 Build 20230219 contained a command injection vulnerability in the country form of the /cgi-bin/luci;stok=/locale endpoint on the web management interface. Specifically, the country parameter of the write operation was not sanitized before being used in a call to popen(), allowing an unauthenticated attacker to inject commands, which would be run as root, with a simple POST request.",0.0,Unknown,TP-Link Archer AX21 (AX1800),yes
0.00036,0.0003469570124952845,1.3042987504715533e-05,3.6229514471030058,96.3769479153568,CVE-2023-1545,SQL Injection in GitHub repository nilsteampassnet/teampass prior to 3.0.0.23.,0.0,nilsteampassnet,nilsteampassnet/teampass,yes
0.00562,0.17269123802073533,0.1670712380207353,2972.7925398840093,0.0,CVE-2023-1671,A pre-auth command injection vulnerability in the warn-proceed handler of Sophos Web Appliance older than version 4.3.10.4 allows execution of arbitrary code.,9.8,Sophos,Sophos Web Appliance,yes
0.00927,0.1749434022412682,0.1656734022412682,1787.1976647411188,0.0,CVE-2023-1826,"A vulnerability, which was classified as critical, was found in SourceCodester Online Computer and Laptop Store 1.0. This affects an unknown part of the file php-ocls\admin\system_info\index.php. The manipulation of the argument img leads to unrestricted upload. It is possible to initiate the attack remotely. The identifier VDB-224841 was assigned to this vulnerability.",6.3,SourceCodester,Online Computer and Laptop Store,yes
0.00015,0.00015125826396692978,1.2582639669297968e-06,0.8387867255048309,99.16115735538014,CVE-2023-1934,"The PnPSCADA system, a product of SDG Technologies CC, is afflicted by a critical unauthenticated error-based PostgreSQL Injection vulnerability. Present within the hitlogcsv.jsp endpoint, this security flaw permits unauthenticated attackers to engage with the underlying database seamlessly and passively. Consequently, malicious actors could gain access to vital information, such as Industrial Control System (ICS) and OT data, alongside other sensitive records like SMS and SMS Logs. The unauthorized database access exposes compromised systems to potential manipulation or breach of essential infrastructure data, highlighting the severity of this vulnerability.",9.8,SDG Technologies,PnPSCADA,yes
0.0005,0.00035085234030511397,0.00014914765969488604,29.82893536027,70.17046806102279,CVE-2023-1998,"The Linux kernel allows userspace processes to enable mitigations by calling prctl with PR_SET_SPECULATION_CTRL which disables the speculation feature as well as by using seccomp. We had noticed that on VMs of at least one major cloud provider, the kernel still left the victim process exposed to attacks in some cases even after enabling the spectre-BTI mitigation with prctl. The same behavior can be observed on a bare-metal machine when forcing the mitigation to IBRS on boot command line.

This happened because when plain IBRS was enabled (not enhanced IBRS), the kernel had some logic that determined that STIBP was not needed. The IBRS bit implicitly protects against cross-thread branch target injection. However, with legacy IBRS, the IBRS bit was cleared on returning to userspace, due to performance reasons, which disabled the implicit STIBP and left userspace threads vulnerable to cross-thread branch target injection against which STIBP protects.",5.6,Linux,Linux Kernel,yes
0.004,0.13968760054737536,0.13568760054737536,3392.1815332305505,0.0,CVE-2023-22232,"Adobe Connect versions 11.4.5 (and earlier), 12.1.5 (and earlier) are affected by an Improper Access Control vulnerability that could result in a Security feature bypass. An attacker could leverage this vulnerability to impact the integrity of a minor feature. Exploitation of this issue does not require user interaction.",5.3,Adobe,Connect,yes
0.02395,0.34700168000000003,0.32305168000000006,1348.8582259464613,0.0,CVE-2023-2246,A vulnerability has been found in SourceCodester Online Pizza Ordering System 1.0 and classified as critical. This vulnerability affects unknown code of the file admin/ajax.php?action=save_settings. The manipulation of the argument img leads to unrestricted upload. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-227236.,6.3,SourceCodester,Online Pizza Ordering System,yes
0.00034,0.0003409361311371361,9.361311371360818e-07,0.2753245896109178,99.72466731260702,CVE-2023-22629,An issue was discovered in TitanFTP through 1.94.1205. The move-file function has a path traversal vulnerability in the newPath parameter. An authenticated attacker can upload any file and then move it anywhere on the server's filesystem.,0.0,Unknown,Unknown,yes
0.13648,0.20173043845238092,0.06525043845238093,47.809520568163016,52.19047592879475,CVE-2023-22809,"In Sudo before 1.9.12p2, the sudoedit (aka -e) feature mishandles extra arguments passed in the user-provided environment variables (SUDO_EDITOR, VISUAL, and EDITOR), allowing a local attacker to append arbitrary entries to the list of files to process. This can lead to privilege escalation. Affected versions are 1.8.0 through 1.9.12.p1. The problem exists because a user-specified editor may contain a ""--"" argument that defeats a protection mechanism, e.g., an EDITOR='vim -- /path/to/extra/file' value.",0.0,Unknown,Unknown,yes
0.00015,0.00015199322812463583,1.9932281246358462e-06,1.328730167746048,98.67118125024277,CVE-2023-22855,"Kardex Mlog MCC 5.7.12+0-a203c2a213-master allows remote code execution. It spawns a web interface listening on port 8088. A user-controllable path is handed to a path-concatenation method (Path.Combine from .NET) without proper sanitisation. This yields the possibility of including local files, as well as remote files on SMB shares. If one provides a file with the extension .t4, it is rendered with the .NET templating engine mono/t4, which can execute code.",0.0,Unknown,Unknown,yes
