CVE ID,Title,Description,CVSS v3.1 Score,Vendor,Product,datePublished,Attempted Exploitation,Reference,CWE,CWE-N
CVE-2023-1258,Flow-X disclosure of sensitive information to unauthenticated users,Exposure of Sensitive Information to an Unauthorized Actor vulnerability in ABB Flow-X firmware on Flow-X embedded hardware (web service modules) allows Footprinting.This issue affects Flow-X: before 4.0.,5.3,ABB,Flow-X,2023-03-31T07:56:05.133Z,yes,2.0,CWE-200,1.0
CVE-2023-1389,,"TP-Link Archer AX21 (AX1800) firmware versions before 1.1.4 Build 20230219 contained a command injection vulnerability in the country form of the /cgi-bin/luci;stok=/locale endpoint on the web management interface. Specifically, the country parameter of the write operation was not sanitized before being used in a call to popen(), allowing an unauthenticated attacker to inject commands, which would be run as root, with a simple POST request.",,n/a,TP-Link Archer AX21 (AX1800),2023-03-15T00:00:00.000Z,yes,2.0,CWE-77,1.0
CVE-2023-1545, SQL Injection in nilsteampassnet/teampass,SQL Injection in GitHub repository nilsteampassnet/teampass prior to 3.0.0.23.,,nilsteampassnet,nilsteampassnet/teampass,2023-03-21T00:00:00.000Z,yes,2.0,CWE-89,1.0
CVE-2023-1671,,A pre-auth command injection vulnerability in the warn-proceed handler of Sophos Web Appliance older than version 4.3.10.4 allows execution of arbitrary code.,9.8,Sophos,Sophos Web Appliance,2023-04-04T00:00:00.000Z,yes,2.0,CWE-77,1.0
CVE-2023-1826,SourceCodester Online Computer and Laptop Store index.php unrestricted upload,"A vulnerability, which was classified as critical, was found in SourceCodester Online Computer and Laptop Store 1.0. This affects an unknown part of the file php-ocls\admin\system_info\index.php. The manipulation of the argument img leads to unrestricted upload. It is possible to initiate the attack remotely. The identifier VDB-224841 was assigned to this vulnerability.",6.3,SourceCodester,Online Computer and Laptop Store,2023-04-04T09:00:05.968Z,yes,3.0,CWE-434,1.0
CVE-2023-1934,,"The PnPSCADA system, a product of SDG Technologies CC, is afflicted by a critical unauthenticated error-based PostgreSQL Injection vulnerability. Present within the hitlogcsv.jsp endpoint, this security flaw permits unauthenticated attackers to engage with the underlying database seamlessly and passively. Consequently, malicious actors could gain access to vital information, such as Industrial Control System (ICS) and OT data, alongside other sensitive records like SMS and SMS Logs. The unauthorized database access exposes compromised systems to potential manipulation or breach of essential infrastructure data, highlighting the severity of this vulnerability.",9.8,SDG Technologies,PnPSCADA,2023-05-12T13:18:25.512Z,yes,2.0,CWE-89,1.0
CVE-2023-1998,Spectre v2 SMT mitigations problem in Linux kernel,"The Linux kernel allows userspace processes to enable mitigations by calling prctl with PR_SET_SPECULATION_CTRL which disables the speculation feature as well as by using seccomp. We had noticed that on VMs of at least one major cloud provider, the kernel still left the victim process exposed to attacks in some cases even after enabling the spectre-BTI mitigation with prctl. The same behavior can be observed on a bare-metal machine when forcing the mitigation to IBRS on boot command line.

This happened because when plain IBRS was enabled (not enhanced IBRS), the kernel had some logic that determined that STIBP was not needed. The IBRS bit implicitly protects against cross-thread branch target injection. However, with legacy IBRS, the IBRS bit was cleared on returning to userspace, due to performance reasons, which disabled the implicit STIBP and left userspace threads vulnerable to cross-thread branch target injection against which STIBP protects.",5.6,Linux,Linux Kernel,2023-04-21T14:51:52.907Z,yes,5.0,CWE-1303,2.0
CVE-2023-22232,Adobe Connect Improper Access Control Security feature bypass,"Adobe Connect versions 11.4.5 (and earlier), 12.1.5 (and earlier) are affected by an Improper Access Control vulnerability that could result in a Security feature bypass. An attacker could leverage this vulnerability to impact the integrity of a minor feature. Exploitation of this issue does not require user interaction.",5.3,Adobe,Connect,2023-02-17T00:00:00.000Z,yes,2.0,CWE-284,1.0
CVE-2023-2246,SourceCodester Online Pizza Ordering System unrestricted upload,A vulnerability has been found in SourceCodester Online Pizza Ordering System 1.0 and classified as critical. This vulnerability affects unknown code of the file admin/ajax.php?action=save_settings. The manipulation of the argument img leads to unrestricted upload. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-227236.,6.3,SourceCodester,Online Pizza Ordering System,2023-04-23T15:31:04.034Z,yes,3.0,CWE-434,1.0
CVE-2023-22629,,An issue was discovered in TitanFTP through 1.94.1205. The move-file function has a path traversal vulnerability in the newPath parameter. An authenticated attacker can upload any file and then move it anywhere on the server's filesystem.,,n/a,n/a,2023-02-14T00:00:00.000Z,yes,4.0,CWE-22,1.0
CVE-2023-22809,,"In Sudo before 1.9.12p2, the sudoedit (aka -e) feature mishandles extra arguments passed in the user-provided environment variables (SUDO_EDITOR, VISUAL, and EDITOR), allowing a local attacker to append arbitrary entries to the list of files to process. This can lead to privilege escalation. Affected versions are 1.8.0 through 1.9.12.p1. The problem exists because a user-specified editor may contain a ""--"" argument that defeats a protection mechanism, e.g., an EDITOR='vim -- /path/to/extra/file' value.",,n/a,n/a,2023-01-18T00:00:00,yes,14.0,CWE-269,1.0
CVE-2023-22855,,"Kardex Mlog MCC 5.7.12+0-a203c2a213-master allows remote code execution. It spawns a web interface listening on port 8088. A user-controllable path is handed to a path-concatenation method (Path.Combine from .NET) without proper sanitisation. This yields the possibility of including local files, as well as remote files on SMB shares. If one provides a file with the extension .t4, it is rendered with the .NET templating engine mono/t4, which can execute code.",,n/a,n/a,2023-02-15T00:00:00.000Z,yes,5.0,CWE-94,1.0
CVE-2023-23156,,Art Gallery Management System Project in PHP 1.0 was discovered to contain a SQL injection vulnerability via the pid parameter in the single-product page.,,n/a,n/a,2023-02-27T00:00:00,yes,3.0,CWE-89,1.0
CVE-2023-23161,,A reflected cross-site scripting (XSS) vulnerability in Art Gallery Management System Project v1.0 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the artname parameter under ART TYPE option in the navigation bar.,,n/a,n/a,2023-02-10T00:00:00,yes,4.0,CWE-79,1.0
CVE-2023-23162,,Art Gallery Management System Project v1.0 was discovered to contain a SQL injection vulnerability via the cid parameter at product.php.,,n/a,n/a,2023-02-10T00:00:00,yes,4.0,CWE-89,1.0
CVE-2023-23163,,Art Gallery Management System Project v1.0 was discovered to contain a SQL injection vulnerability via the editid parameter.,,n/a,n/a,2023-02-10T00:00:00,yes,4.0,CWE-89,1.0
CVE-2023-23286,,Cross Site Scripting (XSS) vulnerability in Provide server 14.4 allows attackers to execute arbitrary code through the server-log via username field from the login form.,,n/a,n/a,2023-02-10T00:00:00.000Z,yes,3.0,CWE-79,1.0
CVE-2023-23333,,"There is a command injection vulnerability in SolarView Compact through 6.00, attackers can execute commands by bypassing internal restrictions through downloader.php.",,n/a,n/a,2023-02-06T00:00:00.000Z,yes,2.0,CWE-77,1.0
CVE-2023-23399,Microsoft Excel Remote Code Execution Vulnerability,,7.8,Microsoft,Microsoft Office 2019,2023-03-14T16:55:29.157Z,yes,1.0,CWE-125,1.0
CVE-2023-23408,Azure Apache Ambari Spoofing Vulnerability,,4.5,Microsoft,Azure HDInsight,2023-03-14T16:55:39.403Z,yes,2.0,CWE-79,1.0
CVE-2023-23488,,"The Paid Memberships Pro WordPress Plugin, version < 2.9.8, is affected by an unauthenticated SQL injection vulnerability in the 'code' parameter of the '/pmpro/v1/order' REST route.",,n/a,Paid Memberships Pro WordPress Plugin,2023-01-20T00:00:00,yes,2.0,CWE-89,1.0
CVE-2023-23752,[20230201] - Core - Improper access check in webservice endpoints,An issue was discovered in Joomla! 4.0.0 through 4.2.7. An improper access check allows unauthorized access to webservice endpoints.,,Joomla! Project,Joomla! CMS,2023-02-16T16:25:21.003Z,yes,1.0,CWE-284,1.0
CVE-2023-24078,,Real Time Logic FuguHub v8.1 and earlier was discovered to contain a remote code execution (RCE) vulnerability via the component /FuguHub/cmsdocs/.,,n/a,n/a,2023-02-17T00:00:00.000Z,yes,2.0,CWE-94,1.0
CVE-2023-24217,,AgileBio Electronic Lab Notebook v4.234 was discovered to contain a local file inclusion vulnerability.,,n/a,n/a,2023-03-06T00:00:00.000Z,yes,2.0,CWE-98,1.0
CVE-2023-24626,,"socket.c in GNU Screen through 4.9.0, when installed setuid or setgid (the default on platforms such as Arch Linux and FreeBSD), allows local users to send a privileged SIGHUP signal to any PID, causing a denial of service or disruption of the target process.",,n/a,n/a,2023-04-08T00:00:00.000Z,yes,4.0,CWE-732,1.0
CVE-2023-24657,,phpipam v1.6 was discovered to contain a reflected cross-site scripting (XSS) vulnerability via the closeClass parameter at /subnet-masks/popup.php.,,n/a,n/a,2023-03-08T00:00:00.000Z,yes,1.0,CWE-79,1.0
CVE-2023-24709,,An issue found in Paradox Security Systems IPR512 allows attackers to cause a denial of service via the login.html and login.xml parameters.,,n/a,n/a,2023-03-21T00:00:00.000Z,yes,3.0,CWE-94,1.0
CVE-2023-24787,,,,,,2023-03-23T21:08:53.667Z,,,,
CVE-2023-24788,,NotrinosERP v0.7 was discovered to contain a SQL injection vulnerability via the OrderNumber parameter at /NotrinosERP/sales/customer_delivery.php.,,n/a,n/a,2023-03-23T00:00:00.000Z,yes,5.0,CWE-89,1.0
CVE-2023-24892,Microsoft Edge (Chromium-based) Webview2 Spoofing Vulnerability,,8.2,Microsoft,Microsoft Edge (Chromium-based),2023-03-14T16:56:00.409Z,yes,1.0,CWE-601,2.0
CVE-2023-27010,,Wondershare Dr.Fone v12.9.6 was discovered to contain weak permissions for the service WsDrvInst. This vulnerability allows attackers to escalate privileges via modifying or overwriting the executable.,,n/a,n/a,2023-03-13T00:00:00.000Z,yes,2.0,CWE-250,1.0
CVE-2023-27100,,Improper restriction of excessive authentication attempts in the SSHGuard component of Netgate pfSense Plus software v22.05.1 and pfSense CE software v2.6.0 allows attackers to bypass brute force protection mechanisms via crafted web requests.,,n/a,n/a,2023-03-22T00:00:00.000Z,yes,3.0,CWE-307,1.0
